name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,first_funding_year,last_funding_year
Marketo,http://www.marketo.com,Analytics|B2B|Brand Marketing|Lead Generation|Lead Management|Optimization|Software,108400000,ipo,USA,CA,SF Bay Area,San Mateo,6,2006-01-01,2006-01,2006-Q1,2006,2006-10-01,2011-11-16,2006,2011
Entrisphere,http://www.entrisphere.com,Web Hosting,108000000,acquired,USA,CA,SF Bay Area,Santa Clara,2,2000-01-01,2000-01,2000-Q1,2000,2002-09-11,2005-05-09,2002,2005
Tabula,http://www.tabula.com,Semiconductors,108000000,operating,USA,CA,SF Bay Area,Santa Clara,2,2003-01-01,2003-01,2003-Q1,2003,2007-08-01,2011-03-28,2007,2011
Cooking.com,http://www.cooking.com,Cooking|E-Commerce|Recipes,107500000,operating,USA,CA,Los Angeles,Marina Del Rey,7,1998-03-01,1998-03,1998-Q1,1998,1999-04-01,2011-12-06,1999,2011
Fundbox,http://fundbox.com,Business Analytics|Enterprise Software|Payments|Software,107500000,operating,USA,CA,SF Bay Area,San Francisco,3,2012-01-01,2012-01,2012-Q1,2012,2014-04-10,2015-09-10,2014,2015
MyoScience,http://www.myoscience.com,Biotechnology,107400000,operating,USA,CA,SF Bay Area,Redwood City,4,2005-01-01,2005-01,2005-Q1,2005,2008-07-11,2013-09-12,2008,2013
BioNano Genomics,http://www.bionanogenomics.com,Biotechnology|Health Diagnostics|Maps,107182814,operating,USA,CA,San Diego,San Diego,7,2003-01-01,2003-01,2003-Q1,2003,2008-03-26,2014-11-20,2008,2014
ALPHAEON Corporation,http://alphaeon.com,Social Commerce,107060133,operating,USA,CA,Anaheim,Irvine,2,2013-07-01,2013-07,2013-Q3,2013,2015-01-16,2015-11-20,2015,2015
Primus Power,http://www.primuspower.com,Clean Technology,107000000,operating,USA,CA,SF Bay Area,Hayward,5,2009-08-04,2009-08,2009-Q3,2009,2010-04-12,2015-09-09,2010,2015
Coinbase,https://www.coinbase.com,Bitcoin|E-Commerce|Personal Finance,106709590,operating,USA,CA,SF Bay Area,San Francisco,4,2012-06-01,2012-06,2012-Q2,2012,2012-09-12,2015-01-20,2012,2015
Ayasdi,http://www.ayasdi.com,Analytics|Big Data|Big Data Analytics|Data Visualization|Machine Learning,106348982,operating,USA,CA,SF Bay Area,Menlo Park,7,2008-01-01,2008-01,2008-Q1,2008,2010-09-01,2015-03-25,2010,2015
Grand Rounds,http://www.grandrounds.com,Health and Wellness|Health Care|Healthcare Services,106000000,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-01,2011-Q1,2011,2011-01-01,2015-08-20,2011,2015
Nevro,http://www.nevro.com,Biotechnology,106000000,ipo,USA,CA,SF Bay Area,Menlo Park,2,2010-01-01,2010-01,2010-Q1,2010,2011-07-19,2013-03-07,2011,2013
Gigya,http://www.gigya.com,Enterprise Software|Identity Management,105800000,operating,USA,CA,SF Bay Area,Mountain View,7,2006-06-01,2006-06,2006-Q2,2006,2007-02-01,2014-11-04,2007,2014
SiTime,http://www.sitime.com,Computers|Semiconductors,105517223,acquired,USA,CA,SF Bay Area,Sunnyvale,7,2005-01-01,2005-01,2005-Q1,2005,2007-05-01,2014-09-23,2007,2014
PacketVideo,http://www.packetvideo.com,Software,105500000,acquired,USA,CA,San Diego,San Diego,2,1998-08-10,1998-08,1998-Q3,1998,2009-07-06,2013-12-16,2009,2013
Catalyst Biosciences,http://www.catalystbiosciences.com,Biotechnology,105114496,operating,USA,CA,SF Bay Area,South San Francisco,9,2003-01-01,2003-01,2003-Q1,2003,2006-02-09,2015-06-11,2006,2015
Anki,http://anki.com,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,105000000,operating,USA,CA,SF Bay Area,San Francisco,2,2010-01-05,2010-01,2010-Q1,2010,2013-06-01,2014-09-26,2013,2014
C3 Jian,http://www.c3-jian.com,Biotechnology|Health Diagnostics,105000000,operating,USA,CA,Los Angeles,Inglewood,3,2005-01-01,2005-01,2005-Q1,2005,2010-01-05,2014-03-17,2010,2014
Intelliden,http://www.intelliden.com,Software,105000000,acquired,USA,CA,SF Bay Area,Menlo Park,4,2000-01-01,2000-01,2000-Q1,2000,2002-02-28,2007-05-22,2002,2007
National Funding,https://www.nationalfunding.com/,Business Services|Financial Services,105000000,operating,USA,CA,San Diego,San Diego,2,1999-01-01,1999-01,1999-Q1,1999,2013-10-22,2015-10-13,2013,2015
Pivotal Software,http://www.pivotal.io,Big Data|Business Intelligence|Enterprise Software|PaaS|Product Design|Product Development Services|Software,105000000,operating,USA,CA,SF Bay Area,Palo Alto,1,2013-04-01,2013-04,2013-Q2,2013,2013-04-24,2013-04-24,2013,2013
Calithera Biosciences,http://www.calithera.com,Biotechnology,104999998,ipo,USA,CA,SF Bay Area,South San Francisco,6,2010-06-01,2010-06,2010-Q2,2010,2010-07-08,2014-07-31,2010,2014
Aerohive Networks,http://www.aerohive.com,Mobile|Technology,104952382,ipo,USA,CA,SF Bay Area,Sunnyvale,6,2006-01-01,2006-01,2006-Q1,2006,2006-07-01,2013-07-09,2006,2013
Complete Genomics,http://www.completegenomics.com,Biotechnology|Life Sciences,104490061,ipo,USA,CA,SF Bay Area,Mountain View,4,2007-01-01,2007-01,2007-Q1,2007,2006-03-28,2010-08-19,2006,2010
moka5,http://www.moka5.com,Enterprise Software|Software,104300012,operating,USA,CA,SF Bay Area,Redwood City,8,2005-01-01,2005-01,2005-Q1,2005,2006-05-17,2014-10-22,2006,2014
Gainsight,http://www.gainsight.com,Enterprise Software|Sales Automation,104250000,operating,USA,CA,SF Bay Area,Redwood City,6,2009-01-01,2009-01,2009-Q1,2009,2011-12-11,2015-11-12,2011,2015
AcuFocus,http://www.acufocus.com,Health Care,104000000,operating,USA,CA,Anaheim,Irvine,4,2001-01-01,2001-01,2001-Q1,2001,2007-01-16,2014-09-03,2007,2014
Elastic,https://www.elastic.co,Cloud Computing|Open Source|Real Time|Search|Software,104000000,operating,USA,CA,SF Bay Area,Mountain View,3,2012-02-01,2012-02,2012-Q1,2012,2012-11-08,2014-06-05,2012,2014
Counsyl,http://www.counsyl.com,Biotechnology|Technology,103795000,operating,USA,CA,SF Bay Area,South San Francisco,6,2008-01-01,2008-01,2008-Q1,2008,2010-03-16,2014-05-08,2010,2014
Tigo Energy,http://www.tigoenergy.com,Clean Technology,103662749,operating,USA,CA,SF Bay Area,Los Gatos,17,2007-01-01,2007-01,2007-Q1,2007,2008-05-23,2015-09-23,2008,2015
ipsy,http://www.ipsy.com,Beauty|Cosmetics|E-Commerce|Flash Sales|Social Commerce|Subscription Businesses,103235793,operating,USA,CA,SF Bay Area,San Mateo,3,2011-11-01,2011-11,2011-Q4,2011,2011-12-12,2015-09-14,2011,2015
LinkedIn,http://linkedin.com,Networking|Social Media|Social Recruiting|Software,103200000,ipo,USA,CA,SF Bay Area,Mountain View,5,2003-05-05,2003-05,2003-Q2,2003,2003-11-01,2008-10-22,2003,2008
Gazillion Entertainment,http://gazillion.com,Games,103000000,operating,USA,CA,SF Bay Area,San Mateo,4,2005-01-01,2005-01,2005-Q1,2005,2010-11-05,2013-04-01,2010,2013
Row44,http://www.row44.com,Web Hosting,103000000,closed,USA,CA,Los Angeles,Westlake Village,3,2004-01-01,2004-01,2004-Q1,2004,2008-05-20,2012-06-11,2008,2012
Personal Capital,http://www.personalcapital.com,Finance|FinTech|Wealth Management,102300000,operating,USA,CA,SF Bay Area,Redwood City,6,2009-07-01,2009-07,2009-Q3,2009,2009-07-01,2014-10-29,2009,2014
NerdWallet,http://www.nerdwallet.com,Consumers|Credit Cards|Curated Web|Incentives|Personal Finance|Search,102000000,operating,USA,CA,SF Bay Area,San Francisco,3,2009-01-01,2009-01,2009-Q1,2009,2015-05-11,2015-10-21,2015,2015
Archemix,http://www.archemix.com,Biotechnology,101750000,operating,USA,CA,SF Bay Area,San Francisco,2,2000-01-01,2000-01,2000-Q1,2000,2002-08-15,2004-04-07,2002,2004
Aurora Biofuels,http://www.aurorainc.com,Clean Technology,101718192,operating,USA,CA,SF Bay Area,Hayward,7,2007-01-01,2007-01,2007-Q1,2007,2007-01-24,2013-04-01,2007,2013
Soraa,http://soraa.com,Clean Technology|Lighting|Semiconductors,101600000,operating,USA,CA,SF Bay Area,Fremont,4,2008-01-01,2008-01,2008-Q1,2008,2008-02-01,2013-01-31,2008,2013
Talend,http://www.talend.com,Big Data|Cloud Computing|Data Integration|Enterprise Software|Software,101580000,operating,USA,CA,SF Bay Area,Redwood City,6,2005-09-01,2005-09,2005-Q3,2005,2006-06-01,2013-12-11,2006,2013
Capella Photonics,http://www.capellainc.com,Web Hosting,101505616,operating,USA,CA,SF Bay Area,San Jose,10,2000-01-01,2000-01,2000-Q1,2000,2005-09-21,2011-05-25,2005,2011
GoodData,http://www.gooddata.com,Analytics|Business Intelligence|Collaboration|Enterprise Software|SaaS,101199993,operating,USA,CA,SF Bay Area,San Francisco,9,2007-05-01,2007-05,2007-Q2,2007,2008-07-23,2014-09-10,2008,2014
Arcadia Biosciences,http://arcadiabio.com,Biotechnology,101000000,ipo,USA,CA,Sacramento,Davis,5,2002-01-01,2002-01,2002-Q1,2002,2005-06-15,2014-05-08,2005,2014
Orexigen Therapeutics,http://www.orexigen.com,Biotechnology|Health Care,101000000,ipo,USA,CA,San Diego,La Jolla,3,2002-01-01,2002-01,2002-Q1,2002,2004-01-22,2015-09-11,2004,2015
Spot Runner,http://www.spotrunner.com,Advertising|Television,101000000,operating,USA,CA,Los Angeles,Los Angeles,3,2004-01-01,2004-01,2004-Q1,2004,2006-01-01,2008-05-07,2006,2008
VeriSilicon Holdings,http://www.verisilicon.com,Cloud Computing|Manufacturing,100948403,operating,USA,CA,SF Bay Area,Santa Clara,10,2002-01-01,2002-01,2002-Q1,2002,2003-03-01,2014-07-02,2003,2014
Xenoport,http://xenoport.com,Biotechnology,100900000,ipo,USA,CA,SF Bay Area,Santa Clara,4,1999-01-01,1999-01,1999-Q1,1999,2002-06-01,2012-11-21,2002,2012
OptiScan Biomedical,http://www.optiscancorp.com,Biotechnology,100756757,operating,USA,CA,SF Bay Area,Hayward,4,1994-01-01,1994-01,1994-Q1,1994,2005-10-10,2013-02-07,2005,2013
Tillster,http://tillster.com/,Enterprise Software|Mobile Commerce|Mobile Payments,100300177,operating,USA,CA,San Diego,San Diego,10,2006-01-01,2006-01,2006-Q1,2006,2003-08-22,2013-06-26,2003,2013
Marin Software,http://www.marinsoftware.com/index.html,Advertising|Search Marketing|Technology,100268406,ipo,USA,CA,SF Bay Area,San Francisco,9,2006-04-01,2006-04,2006-Q2,2006,2006-10-05,2013-03-05,2006,2013
ReShape Medical,http://www.reshapemedical.com,Health Care,100250000,operating,USA,CA,Anaheim,San Clemente,8,2008-01-01,2008-01,2008-Q1,2008,2007-08-31,2015-08-26,2007,2015
Jaunt,http://jauntvr.com,Software,100210000,operating,USA,CA,SF Bay Area,Palo Alto,4,2013-05-01,2013-05,2013-Q2,2013,2013-12-24,2015-09-21,2013,2015
Presidio Pharmaceuticals,http://www.presidiopharma.com,Biotechnology,100183473,operating,USA,CA,SF Bay Area,San Francisco,6,2006-01-01,2006-01,2006-Q1,2006,2007-08-29,2014-06-16,2007,2014
Stem,http://www.stem.com,Enterprise Software,100097672,operating,USA,CA,SF Bay Area,Millbrae,6,2009-01-01,2009-01,2009-Q1,2009,2011-04-20,2015-08-13,2011,2015
Clover Health,http://cloverhealth.com,Health Care,100000000,operating,USA,CA,SF Bay Area,San Francisco,1,2014-08-01,2014-08,2014-Q3,2014,2015-09-18,2015-09-18,2015,2015
Demand Media,http://demandmedia.com,Advertising|Art|Content|Health and Wellness|Home & Garden|Social Media,100000000,ipo,USA,CA,Los Angeles,Santa Monica,1,2006-06-01,2006-06,2006-Q2,2006,2007-09-25,2007-09-25,2007,2007
Gemfire,http://www.gemfire.com,Manufacturing|Semiconductors|Telecommunications,100000000,acquired,USA,CA,SF Bay Area,Fremont,2,1995-01-01,1995-01,1995-Q1,1995,2001-03-05,2007-09-01,2001,2007
Hulu,http://www.hulu.com,Content|Entertainment|Games|Office Space|Television|Video,100000000,operating,USA,CA,Los Angeles,Los Angeles,2,2007-03-01,2007-03,2007-Q1,2007,2007-08-01,2009-04-30,2007,2009
IXIA,http://www.ixiacom.com,Web Hosting,100000000,ipo,USA,CA,Los Angeles,Calabasas,1,1997-01-01,1997-01,1997-Q1,1997,2015-03-04,2015-03-04,2015,2015
Lightspan Inc.,http://www.lightspan.com,Education|K-12 Education|Online Education,100000000,operating,USA,CA,San Diego,San Diego,1,1993-01-01,1993-01,1993-Q1,1993,2001-02-14,2001-02-14,2001,2001
Palm,http://www.palm.com,Mobile,100000000,acquired,USA,CA,SF Bay Area,Sunnyvale,1,1992-01-01,1992-01,1992-Q1,1992,2008-12-23,2008-12-23,2008,2008
REALTIME.CO,http://www.realtime.co,Advertising|E-Commerce|Enterprise Software|Messaging|Online Shopping|Real Time,100000000,operating,USA,CA,Los Angeles,Santa Monica,1,1997-01-01,1997-01,1997-Q1,1997,2012-08-08,2012-08-08,2012,2012
Dilithium Networks,http://onmobile.com,Digital Media|Mobile,99670000,closed,USA,CA,Napa Valley,Petaluma,8,2001-01-01,2001-01,2001-Q1,2001,2003-04-23,2010-06-09,2003,2010
AqueSys,http://www.tif.net/portfolio_aquesys.htm,Health Care|Medical Devices,99600000,acquired,USA,CA,Anaheim,Irvine,4,2006-01-01,2006-01,2006-Q1,2006,2008-07-23,2014-01-16,2008,2014
Nextnav,http://www.nextnav.com,Navigation|Utilities,99184501,operating,USA,CA,SF Bay Area,Sunnyvale,3,2007-01-01,2007-01,2007-Q1,2007,2011-11-16,2014-07-24,2011,2014
Marrone Bio Innovations,http://www.marroneorganicinnovations.com,Biotechnology|Chemicals,99150000,ipo,USA,CA,Sacramento,Davis,6,2006-01-01,2006-01,2006-Q1,2006,2007-05-02,2015-08-21,2007,2015
3D Robotics,http://3drobotics.com,Drones|Manufacturing,99000000,operating,USA,CA,San Diego,San Diego,4,2009-01-01,2009-01,2009-Q1,2009,2012-11-05,2015-04-23,2012,2015
Auspex Pharmaceuticals,http://www.auspexpharma.com,Biotechnology|Health Care,98817742,acquired,USA,CA,San Diego,La Jolla,10,2001-01-01,2001-01,2001-Q1,2001,2009-05-22,2014-01-08,2009,2014
Nimble Storage,http://www.nimblestorage.com,Electronics|Enterprise Software|Flash Storage|Software|Storage|Technology,98751230,ipo,USA,CA,SF Bay Area,San Jose,5,2008-01-01,2008-01,2008-Q1,2008,2008-12-21,2012-09-10,2008,2012
ooma,http://www.ooma.com,Hardware + Software|Mobile|Peer-to-Peer|Social Media|VoIP,98432819,operating,USA,CA,SF Bay Area,Palo Alto,9,2004-01-01,2004-01,2004-Q1,2004,2005-01-01,2015-05-08,2005,2015
Kythera Biopharmaceuticals,http://www.kytherabiopharma.com,Biotechnology|Health Care,98400000,acquired,USA,CA,Los Angeles,Calabasas,4,2005-08-01,2005-08,2005-Q3,2005,2005-09-16,2011-09-19,2005,2011
Fluidigm,http://www.fluidigm.com,Biotechnology,98203214,ipo,USA,CA,SF Bay Area,South San Francisco,6,1999-01-01,1999-01,1999-Q1,1999,2004-01-06,2011-01-21,2004,2011
Ceres,http://www.ceres.net,Clean Technology|Farming,98000000,ipo,USA,CA,Los Angeles,Thousand Oaks,2,1989-01-01,1989-01,1989-Q1,1989,2007-09-27,2014-03-10,2007,2014
InVisage Technologies,http://www.invisage.com,Semiconductors,98000000,operating,USA,CA,SF Bay Area,Menlo Park,5,2006-10-01,2006-10,2006-Q4,2006,2011-02-14,2014-12-16,2011,2014
LendingHome,https://www.lendinghome.com/,Real Estate,98000000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2013-01,2013-Q1,2013,2014-08-27,2015-03-23,2014,2015
MyoKardia,http://www.myokardia.com,Biotechnology,98000000,ipo,USA,CA,SF Bay Area,San Francisco,4,2012-01-01,2012-01,2012-Q1,2012,2012-09-20,2015-04-30,2012,2015
NETGEAR,http://www.netgear.com,Hardware + Software|Telecommunications,98000000,ipo,USA,CA,SF Bay Area,San Jose,1,1996-01-01,1996-01,1996-Q1,1996,2003-08-01,2003-08-01,2003,2003
SARcode Bioscience,http://www.sarcode.com,Biotechnology,98000000,acquired,USA,CA,SF Bay Area,Brisbane,3,2006-01-01,2006-01,2006-Q1,2006,2006-12-01,2011-07-18,2006,2011
Beceem Communications,http://www.beceem.com,Semiconductors,97800000,acquired,USA,CA,SF Bay Area,Santa Clara,5,2003-10-01,2003-10,2003-Q4,2003,2005-06-30,2009-04-22,2005,2009
Crocus Technology,http://www.crocus-technology.com,Clean Technology|Semiconductors,97613550,operating,USA,CA,SF Bay Area,Santa Clara,4,2004-01-01,2004-01,2004-Q1,2004,2006-06-14,2015-06-16,2006,2015
ViaCyte,http://www.viacyte.com,Biotechnology,97600000,operating,USA,CA,San Diego,San Diego,6,1999-01-01,1999-01,1999-Q1,1999,2006-05-03,2014-09-11,2006,2014
Aryaka Networks,http://www.aryaka.com,Enterprise Software|SaaS,97166500,operating,USA,CA,SF Bay Area,Milpitas,7,2008-11-01,2008-11,2008-Q4,2008,2009-05-22,2015-03-28,2009,2015
FRS,http://www.frs.com,E-Commerce,97100000,operating,USA,CA,SF Bay Area,San Mateo,5,2004-01-01,2004-01,2004-Q1,2004,2007-06-06,2013-07-11,2007,2013
Allergen Research Corporation,http://allergenresearch.com,Hospitality,97000000,operating,USA,CA,SF Bay Area,San Mateo,2,2011-01-01,2011-01,2011-Q1,2011,2013-11-21,2015-03-12,2013,2015
Pluribus Networks,http://pluribusnetworks.com,Big Data|Cloud Computing|Data Center Infrastructure|Networking|Web Hosting,97000000,operating,USA,CA,SF Bay Area,Palo Alto,5,2010-04-01,2010-04,2010-Q2,2010,2010-05-01,2015-01-21,2010,2015
True North Therapeutics,http://www.truenorthrx.com/,Biotechnology,97000000,operating,USA,CA,SF Bay Area,South San Francisco,3,2013-01-01,2013-01,2013-Q1,2013,2014-06-17,2015-12-03,2014,2015
Elcelyx Therapeutics,http://www.elcelyx.com,Biotechnology,96845109,operating,USA,CA,San Diego,San Diego,6,2010-01-01,2010-01,2010-Q1,2010,2010-03-17,2015-10-01,2010,2015
GreenVolts,http://www.greenvolts.com,Clean Technology,96800000,closed,USA,CA,SF Bay Area,Fremont,5,2005-01-01,2005-01,2005-Q1,2005,2008-09-01,2012-04-01,2008,2012
Geron,http://www.geron.com,Biotechnology,96700000,ipo,USA,CA,SF Bay Area,Menlo Park,1,1990-08-28,1990-08,1990-Q3,1990,2014-02-04,2014-02-04,2014,2014
CDNetworks,http://www.cdnetworks.com,Cloud Computing|Content Delivery|Internet|Security|Web Hosting,96500000,operating,USA,CA,SF Bay Area,San Jose,1,2000-05-01,2000-05,2000-Q2,2000,2007-12-01,2007-12-01,2007,2007
Cebix,http://www.cebix.com,Biotechnology,96287638,operating,USA,CA,San Diego,La Jolla,5,2008-01-01,2008-01,2008-Q1,2008,2009-10-30,2014-11-13,2009,2014
ONStor,http://www.onstor.com,Web Hosting,96250000,acquired,USA,CA,SF Bay Area,Campbell,5,2000-01-01,2000-01,2000-Q1,2000,2002-03-19,2009-02-24,2002,2009
Invuity,http://www.invuity.com,Health Care,96200000,ipo,USA,CA,SF Bay Area,San Francisco,5,2004-01-01,2004-01,2004-Q1,2004,2010-07-01,2015-02-13,2010,2015
MarketShare,http://www.marketshare.com,Analytics|Big Data Analytics|Enterprise Software|Marketing Automation|Predictive Analytics|SaaS,96000000,acquired,USA,CA,Los Angeles,Los Angeles,6,2005-01-01,2005-01,2005-Q1,2005,2011-04-14,2015-05-04,2011,2015
Threshold Pharmaceuticals,http://www.thresholdpharm.com,Biotechnology|Health and Wellness|Health Care,96000000,ipo,USA,CA,SF Bay Area,South San Francisco,3,2001-01-01,2001-01,2001-Q1,2001,2004-01-14,2012-04-11,2004,2012
Centric Software,http://www.centricsoftware.com/index.asp,Software,95899999,operating,USA,CA,SF Bay Area,Campbell,6,1997-01-01,1997-01,1997-Q1,1997,2004-12-21,2014-07-29,2004,2014
sezmi,http://www.sezmi.com,Games|Television,95892257,acquired,USA,CA,SF Bay Area,Belmont,6,2007-01-01,2007-01,2007-Q1,2007,2007-08-01,2011-11-07,2007,2011
NanoH2O,http://www.nanoh2o.com,Nanotechnology,95500000,acquired,USA,CA,Los Angeles,Los Angeles,3,2005-01-01,2005-01,2005-Q1,2005,2007-05-31,2012-04-30,2007,2012
Calhoun Vision,http://www.calhounvision.com/world.htm,Health Care,95375917,operating,USA,CA,Los Angeles,Pasadena,5,1999-01-01,1999-01,1999-Q1,1999,2010-08-27,2015-06-04,2010,2015
Suneva Medical,http://sunevamedical.com,Health Care,95199996,operating,USA,CA,San Diego,San Diego,5,2009-04-01,2009-04,2009-Q2,2009,2012-11-30,2015-07-29,2012,2015
PlayPhone,http://www.playphone.com,Games,95097200,operating,USA,CA,SF Bay Area,San Francisco,3,2003-04-01,2003-04,2003-Q2,2003,2006-08-28,2012-01-01,2006,2012
Freshdesk,http://www.freshdesk.com,Customer Service|Customer Support Tools|Software,95051568,operating,USA,CA,SF Bay Area,San Francisco,6,2010-01-01,2010-01,2010-Q1,2010,2011-11-30,2015-04-20,2011,2015
